Area,No. of Bedrooms,CarParking,LiftAvailable,Resale,Location,house_type,gated_community,Price
800,2,No,No,No,Gajularamaram,Apartment,No,15.009433329466965
1150,2,No,Yes,No,Chandanagar,Apartment,No,15.544507882918287
1840,3,No,Yes,No,Nanakramguda,Individual,Yes,16.372737946851277
1560,3,No,Yes,No,Gopanpally,Apartment,Yes,15.869634419864939
1300,2,No,Yes,No,Serilingampally,Apartment,Yes,15.656060350091908
1699,4,No,Yes,No,Gachibowli,Individual,Yes,16.341239282272525
1254,2,Yes,Yes,No,Nagole,Apartment,Yes,15.700001278356428
1710,3,Yes,Yes,No,Nagole,Apartment,Yes,16.01017642013461
1320,2,No,Yes,Yes,Uppal Kalan,Apartment,Yes,15.830413711839864
1605,3,No,Yes,No,Puppalaguda,Apartment,Yes,15.76142084987672
2120,3,No,Yes,Yes,Madhapur,Individual,Yes,16.489659276356317
1860,3,Yes,Yes,No,Nallagandla Gachibowli,Individual,Yes,16.41820031748273
1860,3,No,Yes,No,Nallagandla Gachibowli,Individual,Yes,16.41820031748273
1050,2,No,Yes,No,Krishna Reddy Pet,Apartment,No,14.80876270134486
1550,3,No,Yes,No,Miyapur,Apartment,Yes,16.0116235176825
1195,2,Yes,Yes,No,Kondapur,Individual,No,15.830413711839864
1230,3,No,No,Yes,AS Rao Nagar,Apartment,No,15.555976908243359
1076,2,No,Yes,Yes,LB Nagar,Apartment,No,15.520258832020865
842,2,No,Yes,No,Bolarum,Apartment,No,15.090314822536508
1200,2,No,No,Yes,Miyapur,Apartment,No,15.869634419864939
1150,2,No,Yes,No,Madhapur,Individual,No,15.967272877502799
1150,2,No,No,No,Hitech City,Individual,No,16.012735246411598
1150,2,No,Yes,No,Hitech City,Individual,No,16.012735246411598
1245,2,Yes,Yes,No,Nanakramguda,Apartment,Yes,16.105719481135576
1600,3,Yes,Yes,No,Nanakramguda,Apartment,Yes,16.380459992348886
2270,3,Yes,Yes,No,Nanakramguda,Individual,Yes,16.749367480991666
1200,2,Yes,Yes,Yes,Manikonda,Apartment,No,15.607270193858982
1418,3,No,Yes,No,Puppalaguda,Apartment,Yes,15.76142084987672
1905,3,No,Yes,No,Miyapur,Individual,Yes,16.108651293079234
850,2,No,Yes,Yes,Gachibowli,Individual,No,15.520258832020865
1940,3,No,No,No,Nizampet,Individual,No,15.894952224644102
1050,2,No,Yes,Yes,Mehdipatnam,Apartment,No,15.250595321348806
1050,2,No,No,Yes,Mehdipatnam,Apartment,No,15.250595321348806
1908,3,No,Yes,No,Kondapur,Individual,Yes,16.489659276356317
1905,3,No,Yes,No,Bachupally,Individual,Yes,16.00749934131069
1675,3,No,Yes,No,Bachupally,Apartment,Yes,15.878822844746738
1615,3,No,Yes,No,Bachupally,Apartment,Yes,15.84234228112411
1160,2,No,Yes,No,Bachupally,Apartment,No,15.511493255217472
1800,3,No,Yes,No,Bachupally,Apartment,Yes,15.950741639503427
1200,2,No,Yes,No,Bachupally,Apartment,No,15.54539480077919
908,2,No,No,No,Mallapur,Apartment,No,15.319588176962744
1100,2,No,No,No,Kukatpally,Apartment,No,15.390357232668071
1380,2,No,No,No,Mehdipatnam,Apartment,No,15.404745967162466
970,2,No,Yes,No,Hitech City,Individual,No,15.607270193858982
1160,2,No,No,No,Mallapur,Apartment,No,15.319588176962744
840,2,No,No,No,Masab Tank,Apartment,No,15.273893228090627
1100,2,No,No,No,Zamistanpur,Apartment,No,15.373655386537116
931,2,Yes,Yes,No,Madhura Nagar,Apartment,No,15.250595321348806
1670,3,No,No,No,Jubilee Hills,Individual,No,16.341239282272525
2000,3,Yes,Yes,Yes,Kukatpally,Individual,Yes,16.300417291085605
1554,3,No,No,No,Miyapur,Apartment,No,15.894827091830958
1900,3,Yes,Yes,No,Jubilee Hills,Individual,Yes,16.951004817371683
1900,3,Yes,Yes,No,Jubilee Hills,Individual,Yes,16.946647512192587
1900,3,No,No,No,Jubilee Hills,Individual,No,16.951004817371683
1740,3,Yes,Yes,No,Kukatpally,Apartment,Yes,16.489659276356317
3145,3,No,No,Yes,Madhapur,Individual,No,16.811242881518265
963,2,No,No,Yes,Beeramguda,Apartment,No,14.845130332288225
909,3,No,No,No,Ghansi Bazaar,Apartment,No,15.068273812173887
850,2,No,No,No,Chintalakunta,Apartment,No,15.068273812173887
950,2,No,No,No,Chinthal Basthi,Apartment,No,15.36307327944622
1730,3,No,No,No,Kukatpally,Apartment,No,16.249123913364723
1555,3,No,No,No,Gajularamaram,Apartment,No,15.751514805179436
1180,2,No,Yes,No,Gajularamaram,Apartment,No,15.474881029405317
1675,3,No,Yes,No,Kukatpally,Apartment,Yes,16.222455756372646
845,2,No,No,No,Nallakunta,Apartment,No,15.483217567201578
1100,2,No,Yes,No,Bowenpally,Apartment,No,15.319588176962744
1905,3,No,Yes,No,Nallakunta,Individual,Yes,16.496532155171714
1460,3,No,Yes,No,Nallakunta,Apartment,Yes,16.231424425551033
1460,3,No,No,No,Nallakunta,Apartment,No,16.231424425551033
1175,2,No,No,Yes,Malkajgiri,Apartment,No,15.250595321348806
1360,2,Yes,Yes,No,Kompally,Apartment,Yes,15.404745967162466
1220,2,Yes,Yes,No,Kondapur,Individual,Yes,15.837587914634726
1885,3,Yes,Yes,No,Kondapur,Individual,Yes,16.249123913364723
1295,2,No,No,No,Jubilee Hills,Individual,No,16.077273760604726
1295,2,No,No,No,Jubilee Hills,Individual,No,16.13789837629371
1200,2,No,No,No,Bandlaguda Jagir,Apartment,No,15.38412668421143
2460,3,Yes,Yes,No,Nanakramguda,Individual,Yes,16.636889503897294
1040,2,No,Yes,No,Saroornagar,Apartment,No,15.201805169084134
1107,2,No,Yes,No,Beeramguda,Apartment,No,15.096444681204076
1050,2,No,No,No,Begumpet,Apartment,No,15.607270193858982
1050,2,No,Yes,No,Begumpet,Apartment,No,15.607270193858982
850,2,No,Yes,No,Beeramguda,Apartment,No,15.201805169084134
1080,2,No,Yes,No,Beeramguda,Apartment,No,15.068273812173887
1080,2,No,No,No,Beeramguda,Apartment,No,15.068273812173887
1100,2,No,No,No,Boduppal,Apartment,No,14.648420115681892
1100,2,No,No,No,Boduppal,Apartment,No,14.648420115681892
1745,3,Yes,No,Yes,Somajiguda,Apartment,No,16.300417291085605
970,2,No,No,No,Nagole,Apartment,No,14.731801689838349
1090,2,Yes,Yes,No,Kukatpally,Apartment,No,15.569395247863612
1435,3,No,Yes,No,Kukatpally,Apartment,Yes,15.84431661516796
684,1,No,No,No,Beeramguda,Apartment,No,14.77102238760702
1040,2,No,Yes,No,Beeramguda,Apartment,No,15.319588176962744
850,2,No,Yes,No,Beeramguda,Apartment,No,14.914123179965662
1150,2,No,Yes,No,Beeramguda,Apartment,No,14.978661680269905
1605,3,No,Yes,No,Neknampur,Apartment,Yes,15.76142084987672
1000,2,No,Yes,No,Mallapur,Apartment,No,15.520258832020865
1635,3,Yes,Yes,No,Nagole,Apartment,Yes,15.955812105520248
1585,3,Yes,Yes,No,Nagole,Apartment,Yes,15.924753712210666
1730,3,Yes,Yes,No,Appa Junction Peerancheru,Apartment,Yes,16.213405921671733
1665,3,Yes,Yes,No,Appa Junction Peerancheru,Apartment,Yes,16.185754392890075
1482,2,Yes,Yes,No,Appa Junction Peerancheru,Apartment,Yes,16.039052551842968
1385,2,Yes,Yes,No,Appa Junction Peerancheru,Apartment,Yes,15.990262393084791
1000,2,No,No,No,Ambedkar Nagar,Apartment,No,15.039286283703992
1035,2,Yes,Yes,Yes,Gachibowli,Individual,No,16.06680246183392
1250,2,No,Yes,No,Toli Chowki,Apartment,Yes,15.36307327944622
1250,2,No,Yes,No,Toli Chowki,Apartment,Yes,15.36307327944622
1000,2,Yes,Yes,No,Hafeezpet,Apartment,No,15.424948670398354
1260,2,No,Yes,No,Saroornagar,Apartment,Yes,15.38162355451545
950,2,No,No,No,Beeramguda,Apartment,No,14.87330119933429
1260,2,Yes,Yes,Yes,Nanakramguda,Apartment,Yes,15.955576839107596
1050,2,No,Yes,No,Saroornagar,Apartment,No,15.520258832020865
1250,2,Yes,Yes,No,Bachupally,Apartment,Yes,15.29711532616119
1908,3,No,Yes,No,Kondapur,Individual,Yes,16.454567959008102
1720,3,Yes,Yes,No,Narsingi,Apartment,Yes,16.300417291085605
1327,3,Yes,Yes,No,Rajendra Nagar,Apartment,Yes,15.835732872610125
1110,3,Yes,Yes,No,Rajendra Nagar,Apartment,No,15.654471787659123
941,2,Yes,Yes,No,Rajendra Nagar,Apartment,No,15.481328992870381
1200,2,No,Yes,No,Boduppal,Apartment,No,15.534699513568947
1200,1,No,Yes,No,Manikonda,Apartment,No,15.274125813221902
1390,3,No,Yes,No,Vanasthalipuram,Apartment,Yes,15.531108846082864
540,1,No,No,No,Amberpet,Apartment,No,14.690979711984754
1717,2,Yes,Yes,No,Gachibowli,Individual,Yes,16.341239282272525
1717,2,Yes,Yes,No,Gachibowli,Individual,Yes,16.341239282272525
900,2,No,Yes,No,Mehdipatnam,Apartment,No,15.088076433867826
2150,3,Yes,Yes,No,Bandlaguda Jagir,Individual,Yes,16.349207451286784
810,2,Yes,Yes,No,Moula Ali,Apartment,No,15.38412668421143
1985,3,Yes,Yes,No,Bandlaguda Jagir,Individual,Yes,16.266515742283485
1555,3,Yes,Yes,No,Kondapur,Individual,Yes,16.07341214790137
1050,2,No,No,No,Mehdipatnam,Apartment,No,15.096444681204076
1014,2,No,Yes,No,Mallapur,Apartment,No,15.319588176962744
1085,2,Yes,Yes,No,Kompally,Apartment,No,15.176487367510099
1100,2,No,Yes,No,Kompally,Apartment,No,15.573368647930426
1050,2,No,No,No,Nizampet,Apartment,No,15.068273812173887
1050,2,No,No,No,Nizampet,Apartment,No,15.068273812173887
